Longitude (deg),Latitude (deg),Eastward wind (m/s)
162,253,30.994
162,254,29.744
162,255,28.22
162,256,26.658
162,257,25.4
162,258,24.431
162,259,23.693
162,260,23.146
162,261,22.83
162,262,22.556
162,263,22.287
162,264,22.123
162,265,22.048
162,266,22.119
162,267,22.287
162,268,22.47
162,269,22.459
162,270,22.107
162,271,21.443
162,272,20.408
162,273,18.998
162,274,17.427
162,275,16.132
162,276,15.197
162,277,14.427
162,278,13.683
162,279,12.738
162,280,11.538
162,281,10.394
169,231,29.142
169,232,29.798
169,233,30.611
169,234,31.697
169,235,33.166
169,236,34.978
169,237,36.736
169,238,38.603
169,239,40.767
169,240,42.986
169,241,45.064
169,242,46.736
169,243,47.548
169,244,47.627
169,245,47.517
169,246,47.752
169,247,48.564
169,248,49.361
169,249,49.642
169,250,49.189
169,251,48.064
169,252,45.986
169,253,42.97
169,254,40.08
169,255,37.947
169,256,36.087
169,257,34.337
169,258,32.58
169,259,30.767
169,260,29.072
169,261,27.658
169,262,26.439
169,263,25.541
169,264,24.869
169,265,24.529
169,266,24.072
169,267,23.529
169,268,22.486
169,269,21.291
169,270,20.275
169,271,19.38
169,272,18.88
169,273,18.416
169,274,18.095
169,275,17.787
169,276,17.798
169,277,17.99
169,278,18.302
169,279,18.72
169,280,19.423
169,281,20.138
174,231,24.201
174,232,24.392
174,233,25.002
174,234,26.017
174,235,27.228
174,236,28.595
174,237,30.002
174,238,31.455
174,239,33.103
174,240,34.916
174,241,36.923
174,242,39.275
174,243,41.705
174,244,43.877
174,245,45.595
174,246,46.705
174,247,47.267
174,248,47.205
174,249,46.673
174,250,45.83
174,251,44.783
174,252,43.783
174,253,42.908
174,254,42.361
174,255,42.08
174,256,41.892
174,257,41.798
174,258,41.517
174,259,40.97
174,260,40.4
174,261,39.22
174,262,37.337
174,263,35.916
174,264,35.775
174,265,36.83
174,266,37.9
174,267,37.431
174,268,34.9
174,269,31.064
174,270,26.056
174,271,22.099
174,272,19.818
174,273,18.72
174,274,18.642
174,275,19.31
174,276,21.048
174,277,23.099
174,278,25.884
174,279,28.244
174,280,31.4
174,281,32.361
183,231,19.72
183,232,20.021
183,233,20.146
183,234,20.353
183,235,20.884
183,236,21.611
183,237,22.529
183,238,23.759
183,239,25.205
183,240,26.705
183,241,28.228
183,242,29.869
183,243,31.611
183,244,33.322
183,245,34.853
183,246,36.095
183,247,36.892
183,248,37.306
183,249,37.595
183,250,38.017
183,251,38.634
183,252,39.58
183,253,40.642
183,254,41.908
183,255,43.564
183,256,45.361
183,257,45.47
183,258,42.486
183,259,37.087
183,260,32.65
183,261,30.166
183,262,30.173
183,263,30.697
183,264,31.166
183,265,31.384
183,266,30.853
183,267,30.298
183,268,30.502
183,269,32.791
183,270,34.767
183,271,36.97
183,272,39.798
183,273,42.486
183,274,43.705
183,275,43.877
183,276,43.236
183,277,43.548
183,278,44.47
183,279,45.408
183,280,47.298
183,281,49.658
