Longitude (deg),Latitude (deg),Eastward wind (m/s)
101,277,13.56
101,278,15.402
101,279,17.47
101,280,19.658
101,281,22.177
102,231,1.8394
102,232,4.1421
102,233,5.9478
102,234,7.9412
102,235,10.521
102,236,13.037
102,237,14.878
102,238,16.498
102,239,18.396
102,240,20.451
102,241,22.591
102,242,25.048
102,243,27.822
102,244,30.775
102,245,33.595
102,246,36.072
102,247,38.275
102,248,40.291
102,249,42.111
102,250,43.72
102,251,45.283
102,252,46.314
102,253,47.002
102,254,47.767
102,255,49.111
102,256,50.892
102,257,52.83
102,258,54.111
102,259,54.845
102,260,55.111
102,261,55.783
102,262,56.673
102,263,56.298
102,264,55.314
102,265,54.533
102,266,53.97
102,267,52.705
102,268,49.986
102,269,46.47
102,270,42.642
102,271,37.736
102,272,31.353
102,273,24.767
102,274,20.158
102,275,17.15
102,276,15.755
102,277,16.447
102,278,17.873
102,279,19.486
102,280,21.443
102,281,23.74
103,231,0.88237
103,232,3.3218
103,233,5.2564
103,234,6.9869
103,235,9.1185
103,236,11.759
103,237,13.978
103,238,15.582
103,239,17.466
103,240,19.658
103,241,21.646
103,242,23.654
103,243,25.986
103,244,28.681
103,245,31.822
103,246,34.877
103,247,37.627
103,248,39.9
103,249,41.658
103,250,43.142
103,251,44.47
103,252,45.845
103,253,47.111
103,254,48.048
103,255,48.986
103,256,50.439
103,257,52.517
103,258,54.236
103,259,55.048
103,260,55.58
103,261,56.002
103,262,57.111
103,263,58.158
103,264,57.267
103,265,54.986
103,266,53.595
103,267,52.252
103,268,50.252
103,269,47.158
103,270,43.58
103,271,38.947
103,272,33.127
103,273,27.002
103,274,22.638
103,275,20.052
103,276,19.021
103,277,19.65
103,278,20.544
103,279,21.584
103,280,23.236
103,281,25.611
104,231,-0.018024
104,232,2.4742
104,233,4.5289
104,234,6.1753
104,235,7.9202
104,236,10.231
104,237,12.82
104,238,14.843
104,239,16.65
104,240,18.845
104,241,21.056
104,242,22.822
104,243,24.705
104,244,27.291
104,245,30.119
104,246,33.056
104,247,35.877
104,248,38.509
104,249,40.752
104,250,42.486
104,251,43.689
104,252,45.205
104,253,46.955
104,254,48.111
104,255,48.939
104,256,49.814
104,257,51.33
104,258,53.47
104,259,55.033
104,260,56.095
104,261,56.611
104,262,57.064
104,263,57.877
104,264,57.814
104,265,55.736
104,266,52.986
104,267,52.033
104,268,51.33
104,269,48.861
104,270,45.705
104,271,41.548
104,272,35.548
104,273,29.861
104,274,25.783
104,275,23.318
104,276,22.228
104,277,22.459
104,278,23.103
104,279,23.959
104,280,25.517
104,281,27.486
105,231,-0.84615
105,232,1.7652
105,233,3.8257
105,234,5.4624
105,235,6.9429
105,236,8.8791
105,237,11.51
105,238,14.162
105,239,16.261
105,240,18.263
105,241,20.65
105,242,22.955
105,243,24.634
105,244,26.275
105,245,28.494
105,246,31.384
105,247,34.478
105,248,37.306
105,249,39.884
105,250,42.017
105,251,43.439
105,252,44.502
105,253,46.017
105,254,47.377
105,255,48.611
105,256,49.892
105,257,51.408
105,258,53.283
105,259,54.97
105,260,56.017
105,261,56.58
105,262,56.658
105,263,56.877
105,264,56.845
105,265,55.423
105,266,53.923
105,267,53.47
105,268,52.845
105,269,50.783
105,270,46.939
105,271,42.142
105,272,36.947
105,273,32.064
105,274,28.752
105,275,26.267
105,276,24.853
105,277,24.97
105,278,25.853
105,279,26.572
105,280,27.595
105,281,29.377
106,231,-1.9594
106,232,1.2242
106,233,3.3531
106,234,4.8804
106,235,6.2007
106,236,7.7769
106,237,10.078
106,238,13.027
106,239,15.888
106,240,18.142
106,241,20.005
106,242,22.021
106,243,24.091
106,244,25.939
106,245,28.002
106,246,30.283
106,247,32.986
106,248,35.861
106,249,38.65
106,250,41.064
106,251,42.845
106,252,44.033
106,253,45.314
106,254,47.08
106,255,48.97
106,256,50.142
106,257,51.298
106,258,52.611
106,259,53.955
106,260,54.908
106,261,55.72
106,262,56.205
106,263,56.064
106,264,55.673
106,265,55.158
106,266,55.236
106,267,55.002
106,268,53.783
106,269,51.252
106,270,46.955
106,271,42.423
106,272,38.087
106,273,34.142
106,274,31.205
106,275,28.627
106,276,27.127
106,277,27.431
106,278,28.556
106,279,29.494
106,280,30.533
106,281,31.791
107,231,-3.4047
107,232,0.26323
107,233,2.898
107,234,4.5054
107,235,5.7925
107,236,7.1817
107,237,9.0478
107,238,11.708
107,239,14.835
107,240,17.623
107,241,19.83
107,242,21.959
107,243,24.181
107,244,26.025
107,245,27.58
107,246,29.423
107,247,31.923
107,248,34.744
107,249,37.587
107,250,40.119
107,251,42.189
107,252,43.767
107,253,45.205
107,254,46.955
107,255,48.83
107,256,50.33
107,257,51.361
107,258,52.064
107,259,53.017
107,260,54.158
107,261,55.439
107,262,56.752
107,263,57.205
107,264,56.72
107,265,55.923
107,266,56.111
107,267,56.47
107,268,55.423
107,269,52.111
107,270,47.798
107,271,43.533
107,272,39.681
107,273,36.15
