Longitude (deg),Latitude (deg),Eastward wind (m/s)
114,251,38.611
114,252,40.861
114,253,43.127
114,254,45.377
114,255,47.47
114,256,49.158
114,257,50.564
114,258,51.892
114,259,53.142
114,260,54.283
114,261,55.658
114,262,56.752
114,263,57.58
114,264,58.705
114,265,59.502
114,266,59.892
114,267,59.736
114,268,58.658
114,269,56.439
114,270,53.83
114,271,51.705
114,272,50.58
114,273,49.423
114,274,48.47
114,275,47.83
114,276,48.33
114,277,48.705
114,278,48.689
114,279,46.939
114,280,43.345
114,281,41.314
115,231,-5.9829
115,232,-4.6743
115,233,-3.0297
115,234,-1.1899
115,235,0.89799
115,236,3.2906
115,237,5.8384
115,238,8.4808
115,239,11.322
115,240,14.209
115,241,16.939
115,242,19.619
115,243,22.345
115,244,24.994
115,245,27.048
115,246,28.431
115,247,29.955
115,248,31.908
115,249,33.923
115,250,36.048
115,251,38.322
115,252,40.611
115,253,42.939
115,254,45.252
115,255,47.314
115,256,48.658
115,257,49.814
115,258,51.392
115,259,52.642
115,260,53.736
115,261,54.955
115,262,55.986
115,263,56.83
115,264,57.611
115,265,58.111
115,266,58.22
115,267,57.158
115,268,55.642
115,269,53.908
115,270,52.923
115,271,51.97
115,272,51.189
115,273,50.502
115,274,49.502
115,275,49.189
115,276,50.095
115,277,50.642
115,278,50.736
115,279,48.408
115,280,44.127
115,281,42.002
116,231,-5.4204
116,232,-3.9907
116,233,-2.311
116,234,-0.5024
116,235,1.4097
116,236,3.5679
116,237,5.9195
116,238,8.323
116,239,11.03
116,240,14.002
116,241,16.728
116,242,19.193
116,243,21.603
116,244,23.966
116,245,26.072
116,246,27.697
116,247,29.337
116,248,31.291
116,249,33.337
116,250,35.587
116,251,37.759
116,252,40.033
116,253,42.377
116,254,44.595
116,255,46.47
116,256,48.08
116,257,49.455
116,258,50.783
116,259,52.111
116,260,53.252
116,261,54.111
116,262,54.939
116,263,55.517
116,264,56.033
116,265,56.533
116,266,56.83
116,267,57.345
116,268,57.314
116,269,56.47
116,270,55.361
116,271,54.158
116,272,53.252
116,273,51.783
116,274,50.595
116,275,50.267
116,276,51.377
116,277,52.22
116,278,52.486
116,279,49.439
116,280,44.705
116,281,42.72
117,231,-4.8813
117,232,-3.3227
117,233,-1.5415
117,234,0.32182
117,235,2.1089
117,236,3.8648
117,237,5.7622
117,238,7.8953
117,239,10.501
117,240,13.476
117,241,16.25
117,242,18.627
117,243,20.834
117,244,22.959
117,245,24.923
117,246,26.603
117,247,28.275
117,248,30.462
117,249,32.853
117,250,35.056
117,251,37.314
117,252,39.595
117,253,41.97
117,254,44.33
117,255,46.017
117,256,47.22
117,257,48.783
117,258,50.548
117,259,51.877
117,260,52.83
117,261,53.455
117,262,54.189
117,263,54.595
117,264,55.017
117,265,55.861
117,266,56.877
